Date,TSLA
2022-01-03,5.9912811959495995
2022-01-04,5.948548317649003
2022-01-05,5.893594422296092
2022-01-06,5.871836042454604
2022-01-07,5.835745993504386
2022-01-10,5.86563673425388
2022-01-11,5.871554216030037
2022-01-12,5.910091762158475
2022-01-13,5.840215207501725
2022-01-14,5.8575616429592765
2022-01-18,5.839196795504935
2022-01-19,5.804783495406393
2022-01-20,5.805406005489657
2022-01-21,5.751407933196515
2022-01-24,5.736572297479192
2022-01-25,5.724020730251378
2022-01-26,5.744508468474787
2022-01-27,5.621728493815679
2022-01-28,5.64232070417857
2022-01-31,5.7437720915963375
2022-02-01,5.737915448255105
2022-02-02,5.710051641350117
2022-02-03,5.693889235475681
2022-02-04,5.729363622292174
2022-02-07,5.711904915716564
2022-02-08,5.727932967987809
2022-02-09,5.7387204932732985
2022-02-10,5.708825280304017
2022-02-11,5.658320065093887
2022-02-14,5.676479838126185
2022-02-15,5.728399162584643
2022-02-16,5.729439374617406
2022-02-17,5.677153272815776
2022-02-18,5.654802305254301
2022-02-22,5.6125561280728915
2022-02-23,5.540007826390308
2022-02-24,5.5869615004842865
2022-02-25,5.598261446261571
2022-02-28,5.670375080397227
2022-03-01,5.663388588252654
2022-03-02,5.681184592955622
2022-03-03,5.633944017840009
2022-03-04,5.632751787789535
2022-03-07,5.591708096777676
2022-03-08,5.616043515926682
2022-03-09,5.657121709796784
2022-03-10,5.6327636920099255
2022-03-11,5.580169988350259
2022-03-14,5.543052786800937
2022-03-15,5.588359132894603
2022-03-16,5.635063351968949
2022-03-17,5.6717182863917275
2022-03-18,5.709753483903286
2022-03-21,5.727021493816754
2022-03-22,5.803104777412154
2022-03-23,5.808252640456919
2022-03-24,5.822966980051878
2022-03-25,5.819726798347891
2022-03-28,5.897007305450428
2022-03-29,5.9040622190176535
2022-03-30,5.8989745445776025
2022-03-31,5.883879370411984
2022-04-01,5.890345022330918
2022-04-04,5.944940600510657
2022-04-05,5.896475963230186
2022-04-06,5.853886893461723
2022-04-07,5.864823684242094
2022-04-08,5.834313498174064
2022-04-11,5.78477856635655
2022-04-12,5.796007103289326
2022-04-13,5.831266476875513
2022-04-14,5.794029383486292
2022-04-18,5.813423823005923
2022-04-19,5.836904084845041
2022-04-20,5.786079063207321
2022-04-21,5.817884699292669
2022-04-22,5.8141802696855995
2022-04-25,5.8071610470927135
2022-04-26,5.677233189564505
2022-04-27,5.683024068483251
2022-04-28,5.678476038969693
2022-04-29,5.670754081032625
2022-05-02,5.7070438538604265
2022-05-03,5.71400782876245
2022-05-04,5.760603821559115
2022-05-05,5.6736439125081
2022-05-06,5.66486833885224
2022-05-09,5.569755702655145
2022-05-10,5.586049410285412
2022-05-11,5.499896760734947
2022-05-12,5.4916887804884515
2022-05-13,5.547245612077454
2022-05-16,5.486690016159156
2022-05-17,5.53682230574143
2022-05-18,5.466385036481151
2022-05-19,5.465835422023138
2022-05-20,5.399519260847143
2022-05-23,5.415952211428703
2022-05-24,5.344182652541131
2022-05-25,5.391807737429162
2022-05-26,5.463450391882073
2022-05-27,5.534219210475925
2022-05-31,5.532414018708203
2022-06-01,5.508537745366978
2022-06-02,5.554250780062756
2022-06-03,5.457526641215531
2022-06-06,5.473446447637509
2022-06-07,5.475989267818139
2022-06-08,5.488386618544498
2022-06-09,5.479415946807051
2022-06-10,5.447728241487191
2022-06-13,5.3740585149283895
2022-06-14,5.397664837285588
2022-06-15,5.4510384535657
2022-06-16,5.361761567746127
2022-06-17,5.378790725355765
2022-06-21,5.468214841700521
2022-06-22,5.464198983039186
2022-06-23,5.459883373287034
2022-06-24,5.504138405895321
2022-06-27,5.5009316191336195
2022-06-28,5.449592473353004
2022-06-29,5.4314924697416105
2022-06-30,5.413756892269837
2022-07-01,5.4261094164034125
2022-07-05,5.451324531308574
2022-07-06,5.445587302842093
2022-07-07,5.499392532313971
2022-07-08,5.524509610598813
2022-07-11,5.456787296453212
2022-07-12,5.451338869055413
2022-07-13,5.468228874941536
2022-07-14,5.473586359178426
2022-07-15,5.480916658309289
2022-07-18,5.482914088926108
2022-07-19,5.503419134389775
2022-07-20,5.511410582008745
2022-07-21,5.604723047007621
2022-07-22,5.606696325033204
2022-07-25,5.592602537079111
2022-07-26,5.556287318426029
2022-07-27,5.616116364554595
2022-07-28,5.637998712381769
2022-07-29,5.694237041272485
2022-08-01,5.694663261951688
2022-08-02,5.705736131431667
2022-08-03,5.728138990058317
2022-08-04,5.73215394219391
2022-08-05,5.663550630364894
2022-08-08,5.671339651083811
2022-08-09,5.646624096719285
2022-08-10,5.684792157727462
2022-08-11,5.65819220245715
2022-08-12,5.703882465587931
2022-08-15,5.734376363419286
2022-08-16,5.725424337542767
2022-08-17,5.71701675918841
2022-08-18,5.713303654418028
2022-08-19,5.692609139768662
2022-08-22,5.669582016512863
2022-08-23,5.691889832100576
2022-08-24,5.694057606665622
2022-08-25,5.690595937590158
2022-08-26,5.663272918606306
2022-08-29,5.651857427506536
2022-08-30,5.626541438270373
2022-08-31,5.618986769802333
2022-09-01,5.62459496997216
2022-09-02,5.599199402840497
2022-09-06,5.614659828424354
2022-09-07,5.647917384842761
2022-09-08,5.667325971406302
2022-09-09,5.7027152142556465
2022-09-12,5.718408370960758
2022-09-13,5.677198925387698
2022-09-14,5.712444799327868
2022-09-15,5.716204994654758
2022-09-16,5.714887274508682
2022-09-19,5.7335678121564975
2022-09-20,5.732467144101664
2022-09-21,5.706445551493798
2022-09-22,5.665006983015132
2022-09-23,5.617970329472451
2022-09-26,5.620437132326265
2022-09-27,5.645234869659495
2022-09-28,5.662300531718559
2022-09-29,5.591770223901169
2022-09-30,5.580672777494092
2022-10-03,5.490589229015639
2022-10-04,5.519218415097016
2022-10-05,5.484008230673286
2022-10-06,5.472816763540671
2022-10-07,5.407485656382414
2022-10-10,5.406992413286122
2022-10-11,5.377590547442544
2022-10-12,5.381002758452798
2022-10-13,5.401415330057211
2022-10-14,5.322961224258026
2022-10-17,5.390668655437687
2022-10-18,5.394490821084419
2022-10-19,5.402857515584763
2022-10-20,5.334070530364704
2022-10-21,5.368029990344369
2022-10-24,5.353042266237283
2022-10-25,5.404567478158277
2022-10-26,5.414499118120426
2022-10-27,5.416500305956213
2022-10-28,5.431623752552484
2022-10-31,5.427326017605254
2022-11-01,5.428555875620913
2022-11-02,5.370544980671157
2022-11-03,5.372078838771062
2022-11-04,5.334986756788806
2022-11-07,5.283609746966683
2022-11-08,5.25384289239894
2022-11-09,5.179477502045358
2022-11-10,5.250806390277484
2022-11-11,5.277961592519993
2022-11-14,5.252011597689552
2022-11-15,5.270020757974886
2022-11-16,5.2306807080362985
2022-11-17,5.210414673375649
2022-11-18,5.194011863287789
2022-11-21,5.123189841247455
2022-11-22,5.135268906650897
2022-11-23,5.210578435581963
2022-11-25,5.208720836074089
2022-11-28,5.209048888779715
2022-11-29,5.197557373522723
2022-11-30,5.271459896704
2022-12-01,5.271459896704
2022-12-02,5.272281355129452
2022-12-05,5.2064761461559135
2022-12-06,5.191956391287461
2022-12-07,5.1592851192759035
2022-12-08,5.155831732327655
2022-12-09,5.187665113488607
2022-12-12,5.1228920200852235
2022-12-13,5.0810937387839115
2022-12-14,5.054971127379049
2022-12-15,5.060504229636181
2022-12-16,5.012167424634866
2022-12-19,5.009768219076585
2022-12-20,4.925803380725841
2022-12-21,4.924132931712844
2022-12-22,4.831109812431356
2022-12-23,4.813403136956956
2022-12-27,4.692264878852967
2022-12-28,4.724818140131129
2022-12-29,4.802544542903202
2022-12-30,4.813646702736375
